日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,5383237,96154983,17.9,17.95,17.8,17.8,-0.05,1900
109/01/03,7256023,129628231,17.9,18.0,17.75,17.9,0.1,2537
109/01/06,7615770,134726310,17.8,17.85,17.6,17.65,-0.25,2695
109/01/07,5708642,100569749,17.65,17.8,17.55,17.55,-0.1,2095
109/01/08,7981411,139482793,17.5,17.55,17.4,17.45,-0.1,2590
109/01/09,3502361,61570206,17.6,17.65,17.5,17.6,0.15,1783
109/01/10,3902773,69081730,17.7,17.8,17.65,17.7,0.1,1573
109/01/13,8086763,143512168,17.65,17.8,17.6,17.8,0.1,2554
109/01/14,5837827,103893059,17.8,17.85,17.7,17.85,0.05,1928
109/01/15,7150778,127896940,17.8,18.0,17.75,18.0,0.15,2476
109/01/16,6959544,125405142,18.0,18.1,17.95,18.1,0.1,2273
109/01/17,17845042,326243733,18.2,18.4,18.05,18.25,0.15,5177
109/01/20,5707816,103516153,18.25,18.3,18.05,18.05,-0.2,2030
109/01/30,23383651,397171505,17.4,17.45,16.55,16.65,-1.4,7352
109/01/31,13100698,221982920,16.85,17.2,16.7,16.9,0.25,4309
109/02/03,13382952,219050236,16.5,16.55,16.1,16.55,-0.35,4406
109/02/04,7562725,125856511,16.5,16.75,16.4,16.75,0.2,2763
109/02/05,7128167,118763955,16.8,16.8,16.55,16.6,-0.15,2325
109/02/06,8970347,151365394,16.8,17.0,16.7,16.95,0.35,2767
109/02/07,7475074,126704573,16.85,17.15,16.7,16.85,-0.1,2654
109/02/10,6501102,107979724,16.55,16.75,16.5,16.6,-0.25,2213
109/02/11,5022873,83745962,16.65,16.8,16.6,16.6,0.0,1711
109/02/12,6805099,114925987,16.7,17.0,16.7,17.0,0.4,2397
109/02/13,5723835,96881076,17.0,17.1,16.85,16.9,-0.1,2165
109/02/14,2727865,46090892,16.9,17.0,16.85,16.85,-0.05,1202
109/02/17,3572481,59997724,16.8,16.85,16.75,16.8,-0.05,1268
109/02/18,5315324,88748035,16.75,16.9,16.6,16.65,-0.15,1760
109/02/19,12623328,216593006,16.75,17.4,16.75,17.25,0.6,4242
109/02/20,6668000,114648982,17.4,17.45,17.0,17.1,-0.15,2386
109/02/21,6663082,114854236,17.2,17.35,17.05,17.2,0.1,2358
109/02/24,7057060,119872766,17.0,17.15,16.85,16.95,-0.25,2315
109/02/25,4770783,80615761,16.75,17.05,16.75,16.85,-0.1,1954
109/02/26,9160489,152866980,16.7,16.85,16.6,16.75,-0.1,3014
109/02/27,12464555,205284832,16.7,16.75,16.35,16.35,-0.4,3462
109/03/02,10873664,175626308,15.95,16.5,15.8,16.15,-0.2,3886
109/03/03,6956741,113459412,16.6,16.6,16.2,16.2,0.05,2518
109/03/04,5613510,91564435,16.2,16.4,16.2,16.35,0.15,1792
109/03/05,4987226,82236859,16.5,16.6,16.4,16.5,0.15,1731
109/03/06,8780698,142345383,16.35,16.4,16.15,16.2,-0.3,2630
109/03/09,16003417,251259412,15.95,16.0,15.5,15.55,-0.65,5945
109/03/10,12214540,188257453,15.2,15.75,15.2,15.65,0.1,3574
109/03/11,8310344,128300869,15.65,15.75,15.15,15.2,-0.45,3650
109/03/12,21270904,306658530,15.0,15.0,14.1,14.35,-0.85,6395
109/03/13,33563014,443820235,13.2,14.15,12.95,13.8,-0.55,9368
109/03/16,17253703,234614365,13.9,14.1,13.25,13.5,-0.3,5331
109/03/17,21863096,294449253,13.05,13.8,13.0,13.45,-0.05,5880
109/03/18,16568603,223969477,13.5,13.65,13.4,13.5,0.05,5067
