日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,748103,173295328,233.0,233.0,230.0,232.0,0.5,597
109/01/03,934964,217813612,232.5,234.0,231.5,234.0,2.0,793
109/01/06,806290,186933990,232.5,233.0,230.5,232.5,-1.5,651
109/01/07,1263692,295350428,233.0,235.0,231.5,235.0,2.5,803
109/01/08,883233,205505196,234.0,234.0,231.5,232.0,-3.0,632
109/01/09,705496,165049564,232.0,235.0,232.0,235.0,3.0,520
109/01/10,1740511,410684809,235.0,239.0,234.5,234.5,-0.5,1020
109/01/13,705098,166033971,234.5,236.5,234.0,235.5,1.0,560
109/01/14,1074050,253482761,236.5,238.0,234.5,236.0,0.5,630
109/01/15,1204494,281570338,234.5,235.0,232.5,234.0,-2.0,774
109/01/16,1189282,278893988,233.0,235.5,233.0,235.0,1.0,687
109/01/17,953615,224103025,235.0,235.5,234.0,235.5,0.5,578
109/01/20,680459,160696127,235.5,237.0,234.5,236.0,0.5,528
109/01/30,3625841,815889265,234.0,234.0,219.0,222.5,-13.5,2546
109/01/31,1580182,356120768,226.0,227.5,223.5,224.0,1.5,1061
109/02/03,1559167,345244477,220.0,224.0,217.0,221.5,-2.5,1205
109/02/04,1326150,294368800,219.5,224.0,219.0,222.0,0.5,1050
109/02/05,1283475,284000206,223.5,223.5,220.0,221.0,-1.0,978
109/02/06,1706693,378974846,223.0,225.5,220.5,221.5,0.5,853
109/02/07,658717,146360523,221.0,223.5,220.5,223.0,1.5,520
109/02/10,1234944,270334233,219.0,220.0,217.0,219.5,-3.5,768
109/02/11,1164576,256148673,219.5,222.0,219.0,219.0,-0.5,694
109/02/12,1272558,279658468,219.0,221.5,218.5,219.5,0.5,922
109/02/13,1848186,404408734,220.0,220.5,218.0,218.0,-1.5,1143
109/02/14,814105,177903995,218.0,220.0,217.5,219.0,1.0,669
109/02/17,683678,147989457,217.5,217.5,216.0,216.0,-3.0,592
109/02/18,1336877,285903688,215.5,215.5,211.0,215.5,-0.5,884
109/02/19,2614038,567986808,215.0,220.0,215.0,217.0,1.5,661
109/02/20,826472,178944676,218.5,218.5,215.5,216.0,-1.0,618
109/02/21,1179999,253170785,215.0,215.5,213.5,214.5,-1.5,656
109/02/24,1272784,270219492,212.0,213.5,211.0,213.0,-1.5,1003
109/02/25,1013388,213949756,210.0,212.5,210.0,211.0,-2.0,853
109/02/26,1552353,325730983,208.5,211.5,208.5,209.5,-1.5,1220
109/02/27,2532019,523487920,208.5,209.0,206.0,206.0,-3.5,1360
109/03/02,3047600,616359220,201.5,203.5,201.5,202.0,-4.0,2019
109/03/03,1274425,259354200,204.0,205.0,202.5,203.0,1.0,1056
109/03/04,1550202,317444410,202.0,207.0,202.0,204.0,1.0,1113
109/03/05,1613731,329551355,205.0,206.5,203.0,203.0,-1.0,1149
109/03/06,1804621,364484865,203.0,204.0,201.0,202.0,-1.0,1384
109/03/09,2922395,583273395,200.0,201.0,198.0,199.5,-2.5,2071
109/03/10,3393156,675202356,197.5,202.0,196.5,200.0,0.5,2201
109/03/11,2898452,574765948,199.0,200.0,197.0,197.5,-2.5,2113
109/03/12,3716542,727441816,197.0,198.0,193.0,197.0,-0.5,2874
109/03/13,5474019,1017281621,188.0,193.0,182.0,190.0,-7.0,3802
109/03/16,3407192,635387100,184.5,191.0,182.5,185.0,-5.0,2575
109/03/17,4168725,770321335,182.0,187.0,181.5,185.0,0.0,2691
