日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/05/21,21623172,2299356634,108.0,110.5,104.0,105.5,-1.0,9773
110/05/24,8776821,932125363,105.0,108.0,103.5,106.5,1.0,3804
110/05/25,17820029,1927895274,108.0,109.0,107.0,108.5,2.0,7393
110/05/26,18572231,2025742907,110.0,111.5,107.0,107.5,-1.0,10058
110/05/27,20535841,2205808731,107.0,109.0,104.0,109.0,1.5,6920
110/05/28,15977107,1757731589,109.0,111.0,108.5,110.5,1.5,7947
110/05/31,13840491,1538810515,110.5,112.0,109.5,111.5,1.0,8840
110/06/01,10557976,1192481717,112.0,114.0,111.5,113.0,1.5,6405
110/06/02,12761612,1419815128,113.5,114.0,109.5,111.0,-2.0,8919
110/06/03,8171305,910714328,112.0,112.5,110.5,112.0,1.0,4296
110/06/04,5524477,612060452,111.0,111.5,110.0,111.0,-1.0,3682
110/06/07,20731291,2361930269,112.5,116.0,110.5,115.5,4.5,10934
110/06/08,10271550,1190461672,116.5,117.5,115.0,115.5,0.0,6581
110/06/09,9963512,1133466388,115.5,115.5,113.0,114.0,-1.5,4014
110/06/10,11658065,1348733633,115.5,116.5,114.5,116.5,2.5,5899
110/06/11,30003825,3559616671,118.0,120.0,117.0,118.5,2.0,12395
110/06/15,19091890,2252228990,119.0,119.5,117.0,118.0,-0.5,6605
110/06/16,10860891,1265599072,117.0,118.0,115.5,115.5,-2.5,5946
110/06/17,9854478,1144061546,115.0,118.0,114.5,118.0,2.5,5676
110/06/18,10889750,1274742752,118.0,119.0,116.5,116.5,-1.5,4197
110/06/21,11584582,1308874853,115.0,115.0,111.5,113.0,-3.5,7230
110/06/22,8063487,911892897,114.5,115.0,111.5,113.0,0.0,4735
110/06/23,10806231,1241890248,114.0,116.0,113.5,116.0,3.0,6449
110/06/24,6139835,707083894,116.0,116.0,114.0,115.5,-0.5,2852
110/06/25,11023950,1289951569,116.5,118.0,115.5,117.5,2.0,5720
110/06/28,20538221,2323034087,113.0,114.5,112.0,112.5,-5.0,11901
110/06/29,17706634,1969548864,112.5,113.5,109.5,113.0,0.5,9265
110/06/30,13374032,1496449616,112.5,113.0,111.0,112.0,-1.0,5305
