Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,190.270004,192.960007,188.350006,190.130005,188.206207,202800
2020-01-03,188.470001,190.070007,187.869995,188.789993,186.879745,131000
2020-01-06,186.789993,189.410004,186.710007,188.520004,186.612473,423200
2020-01-07,188.089996,189.789993,185.270004,185.610001,183.731918,245800
2020-01-08,185.710007,189.309998,185.199997,186.050003,184.167450,199400
2020-01-09,187.750000,188.130005,186.240005,186.429993,184.543625,111000
2020-01-10,186.889999,187.490005,182.750000,184.220001,182.355972,152800
2020-01-13,184.649994,187.860001,184.589996,187.850006,185.949280,220400
2020-01-14,187.220001,187.369995,184.960007,185.070007,183.197403,184900
2020-01-15,179.619995,179.630005,169.169998,171.250000,169.517212,577200
2020-01-16,171.250000,173.449997,170.339996,170.779999,169.051987,222500
2020-01-17,171.240005,172.419998,169.289993,170.580002,168.854004,273800
2020-01-21,169.710007,171.169998,168.270004,170.350006,168.626328,281500
2020-01-22,170.979996,172.429993,170.210007,170.259995,168.537247,153000
2020-01-23,170.100006,171.289993,169.160004,170.899994,169.170761,164000
2020-01-24,171.910004,174.949997,170.800003,173.130005,171.378204,214200
2020-01-27,170.600006,170.949997,167.020004,170.440002,168.715424,204700
2020-01-28,171.080002,173.460007,170.720001,172.080002,170.338821,124300
2020-01-29,172.619995,172.619995,168.570007,168.570007,166.864334,162400
2020-01-30,167.839996,168.389999,164.619995,168.029999,166.329788,221300
2020-01-31,167.500000,167.500000,162.889999,163.419998,161.766434,212500
2020-02-03,164.130005,167.089996,164.000000,165.279999,163.607635,204800
2020-02-04,167.270004,169.789993,165.419998,168.130005,166.428787,232700
2020-02-05,170.410004,170.580002,166.500000,168.039993,166.339691,205400
2020-02-06,169.059998,170.699997,167.449997,170.639999,168.913406,222500
2020-02-07,145.419998,149.750000,135.570007,144.949997,143.483337,1229300
2020-02-10,141.789993,145.220001,139.279999,142.009995,140.573090,504000
2020-02-11,142.399994,147.690002,142.149994,145.110001,143.641708,270100
2020-02-12,145.360001,147.899994,145.229996,145.779999,144.304932,260600
2020-02-13,145.050003,147.539993,143.979996,145.850006,144.374237,222400
2020-02-14,145.410004,145.970001,143.880005,144.779999,143.610443,199300
2020-02-18,144.130005,145.470001,143.619995,144.020004,142.856598,156000
2020-02-19,144.990005,147.500000,144.500000,146.750000,145.564529,181300
2020-02-20,145.750000,146.559998,141.779999,145.350006,144.175842,188200
2020-02-21,144.449997,144.449997,140.330002,140.949997,139.811386,183200
2020-02-24,135.000000,137.580002,134.179993,135.779999,134.683136,240100
2020-02-25,136.759995,137.360001,133.720001,134.130005,133.046478,255400
2020-02-26,134.990005,138.770004,134.649994,135.020004,133.929306,237000
2020-02-27,131.830002,138.229996,131.490005,134.190002,133.106003,332800
2020-02-28,130.289993,137.389999,130.289993,135.660004,134.564133,370500
2020-03-02,136.550003,140.289993,134.029999,139.880005,138.750031,240600
2020-03-03,140.020004,144.080002,139.160004,141.190002,140.049454,215800
2020-03-04,142.500000,144.639999,140.169998,143.949997,142.787140,178400
2020-03-05,141.270004,143.139999,140.360001,142.460007,141.309204,155600
2020-03-06,139.100006,143.580002,139.100006,143.240005,142.082901,198300
2020-03-09,133.990005,134.440002,120.830002,127.849998,126.817200,344000
2020-03-10,131.690002,136.580002,129.130005,135.630005,134.534348,240900
2020-03-11,133.710007,134.880005,128.919998,129.500000,128.453873,336700
2020-03-12,123.599998,124.269997,113.449997,113.449997,112.533524,411600
2020-03-13,117.489998,123.389999,116.150002,122.919998,121.927040,440800
2020-03-16,111.220001,126.300003,110.010002,118.250000,117.294754,374000
2020-03-17,120.099998,137.250000,120.099998,133.809998,132.729065,390100
2020-03-18,127.000000,139.589996,123.070000,125.000000,123.990234,417000
2020-03-19,123.860001,139.500000,122.620003,131.460007,130.398071,386400
2020-03-20,133.300003,139.720001,127.110001,128.619995,127.581001,312400
2020-03-23,128.559998,137.009995,125.989998,127.389999,126.360931,263000
2020-03-24,132.389999,142.550003,132.149994,141.940002,140.793381,237500
2020-03-25,143.070007,146.210007,138.250000,141.729996,140.585068,219700
2020-03-26,141.660004,147.479996,135.979996,146.070007,144.890045,161000
2020-03-27,141.740005,142.779999,132.660004,133.440002,132.362045,231800
2020-03-30,134.149994,143.949997,132.779999,142.160004,141.011627,245200
2020-03-31,142.199997,144.729996,139.339996,141.580002,140.436295,295000
2020-04-01,140.229996,140.229996,132.949997,134.339996,133.254791,225400
2020-04-02,134.679993,139.970001,132.009995,139.570007,138.442535,293700
2020-04-03,138.669998,140.899994,136.399994,140.529999,139.394775,422500
2020-04-06,147.289993,154.949997,144.759995,154.020004,152.775818,223000
2020-04-07,156.960007,158.350006,151.779999,153.809998,152.567490,224900
2020-04-08,156.449997,160.360001,151.679993,159.720001,158.429764,123700
2020-04-09,161.139999,162.179993,155.070007,156.710007,155.444092,99700
2020-04-13,154.970001,155.000000,150.889999,153.559998,152.319519,84800
2020-04-14,157.699997,161.500000,156.979996,160.570007,159.272903,107200
2020-04-15,158.210007,158.210007,151.259995,152.110001,150.881241,143400
2020-04-16,153.080002,154.869995,151.789993,153.770004,152.527832,90300
2020-04-17,155.889999,158.009995,153.830002,157.919998,156.644302,89100
2020-04-20,156.000000,159.729996,154.899994,156.669998,155.404388,90500
2020-04-21,155.440002,155.440002,148.279999,148.279999,147.082184,112400
2020-04-22,151.059998,155.610001,151.039993,155.289993,154.035538,68800
2020-04-23,156.169998,156.960007,152.570007,153.589996,152.349274,94300
2020-04-24,154.330002,155.820007,152.169998,154.649994,153.400696,73500
2020-04-27,157.440002,164.460007,156.029999,163.169998,161.851898,122900
2020-04-28,163.679993,166.929993,160.009995,160.839996,159.540710,108300
2020-04-29,163.970001,167.550003,163.919998,165.539993,164.202728,106400
2020-04-30,164.710007,166.800003,161.259995,162.029999,160.721100,96000
2020-05-01,159.929993,159.929993,154.830002,155.619995,154.362885,102200
2020-05-04,155.500000,158.309998,154.699997,157.139999,155.870605,69700
2020-05-05,159.000000,160.220001,157.899994,158.210007,156.931961,67400
2020-05-06,159.039993,159.669998,156.050003,157.289993,156.019379,158200
2020-05-07,160.490005,161.710007,158.520004,160.179993,158.886032,106300
