日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,4538657,85695691,18.9,18.95,18.85,18.85,0.0,1506
109/01/03,7517182,141847492,18.95,18.95,18.8,18.9,0.05,2740
109/01/06,6716266,126446995,18.85,18.9,18.75,18.9,0.0,1922
109/01/07,5610981,105412249,18.9,18.9,18.75,18.75,-0.15,1994
109/01/08,7526842,140445115,18.7,18.75,18.6,18.6,-0.15,2661
109/01/09,5038275,94592477,18.65,18.85,18.65,18.8,0.2,1611
109/01/10,6968754,131021544,18.9,18.9,18.7,18.75,-0.05,2696
109/01/13,7002150,131979931,18.85,18.9,18.8,18.9,0.15,2572
109/01/14,6880097,130043240,18.9,18.95,18.8,18.95,0.05,2213
109/01/15,7891995,149806155,18.95,19.0,18.95,19.0,0.05,2676
109/01/16,5418904,102479900,19.0,19.0,18.85,18.95,-0.05,1712
109/01/17,8008518,151880992,19.0,19.0,18.9,19.0,0.05,2619
109/01/20,12012576,229641179,19.05,19.25,19.0,19.1,0.1,3762
109/01/30,28571798,526721354,18.6,18.65,18.25,18.35,-0.75,9185
109/01/31,14936557,275054847,18.35,18.6,18.35,18.35,0.0,3854
109/02/03,15364419,277389404,18.05,18.2,17.9,18.15,-0.2,4988
109/02/04,6901231,126153518,18.1,18.4,18.1,18.4,0.25,2216
109/02/05,5525779,101493759,18.4,18.45,18.25,18.4,0.0,1845
109/02/06,7168299,132730187,18.4,18.6,18.4,18.6,0.2,2076
109/02/07,5658388,104750045,18.5,18.55,18.4,18.55,-0.05,1817
109/02/10,4627670,85175025,18.35,18.5,18.3,18.4,-0.15,1837
109/02/11,5094795,93958047,18.4,18.5,18.4,18.4,0.0,1592
109/02/12,8315902,153915089,18.5,18.55,18.45,18.55,0.15,2619
109/02/13,6431914,119254226,18.55,18.6,18.5,18.5,-0.05,1983
109/02/14,12394863,230312771,18.5,18.65,18.5,18.55,0.05,3562
109/02/17,6691318,123855631,18.55,18.55,18.45,18.55,0.0,2345
